,lat,lon,nir,red,date,szen,yday,sif,b1,b2,sza
0,40.375,95.125,0.5632,0.52919996,2016-01-01,67.06,2016001.0,0.055336606,2608.0,3159.0,65.173645
1,39.625,-102.375,0.25419998,0.1777,2016-01-01,68.6,2016001.0,-0.017049588,1343.0,2019.0,64.43849
2,38.875,-102.125,0.23719999,0.1538,2016-01-01,68.02,2016001.0,0.049399886,1339.0,2451.0,63.76094
3,37.875,-101.875,0.2223,0.1348,2016-01-01,67.229996,2016001.0,-0.052455578,1183.0,2142.0,62.8599
4,37.625,-2.875,0.2584,0.1647,2016-01-01,65.85,2016001.0,0.15334487,1043.0,2143.0,62.66594
5,37.125,-101.625,0.21,0.13149999,2016-01-01,66.67,2016001.0,0.10094511,1216.0,2292.0,62.185734
6,37.125,96.125,0.22129999,0.18599999,2016-01-01,64.34,2016001.0,0.08151924,1709.0,1984.0,62.241756
7,36.875,-2.625,0.5983,0.57699996,2016-01-01,65.27,2016001.0,-0.114331,928.0,2020.0,61.998695
8,36.375,-101.375,0.2647,0.14389999,2016-01-01,66.1,2016001.0,0.17841913,1083.0,2601.0,61.514202
9,36.375,96.375,0.2773,0.2502,2016-01-01,63.719997,2016001.0,-0.091352955,2400.0,2573.0,61.568813
10,35.625,96.625,0.1766,0.1346,2016-01-01,63.12,2016001.0,-0.04347813,1794.0,2228.0,60.903008
11,35.375,96.625,0.2553,0.1814,2016-01-01,62.89,2016001.0,-0.22815245,2127.0,2746.0,60.6784
12,34.625,96.875,0.2376,0.1625,2016-01-01,62.27,2016001.0,-0.1448399,1526.0,2221.0,60.00569
13,34.125,-1.875,0.41849998,0.2882,2016-01-01,63.059998,2016001.0,0.13433343,2685.0,3963.0,59.53095
14,33.875,97.125,0.2428,0.16129999,2016-01-01,61.68,2016001.0,-0.036325704,1663.0,2433.0,59.340492
15,33.625,97.125,0.219,0.15179999,2016-01-01,61.44,2016001.0,0.13859117,1374.0,2112.0,59.115433
16,33.375,-1.625,0.4044,0.3114,2016-01-01,62.489998,2016001.0,0.0022998988,2938.0,3766.0,58.862904
17,33.125,-1.625,0.4181,0.31599998,2016-01-01,62.27,2016001.0,-0.062241912,3053.0,4029.0,58.640247
18,33.125,47.875,0.4673,0.4245,2016-01-01,61.649998,2016001.0,0.18395461,1505.0,2437.0,58.648987
19,32.875,97.375,0.3566,0.2944,2016-01-01,60.85,2016001.0,0.030408747,1034.0,1670.0,58.45486
20,32.375,-1.375,0.2983,0.22309999,2016-01-01,61.699997,2016001.0,-0.046392582,2304.0,3051.0,57.977886
21,31.375,-1.125,0.4583,0.34059998,2016-01-01,60.91,2016001.0,0.25681856,3467.0,4527.0,57.092827
22,30.875,97.875,0.7184,0.6889,2016-01-01,59.21,2016001.0,-0.09690103,1076.0,1831.0,56.68175
23,30.375,-0.875,0.55439997,0.428,2016-01-01,60.129997,2016001.0,-0.03380115,4475.0,5528.0,56.21055
24,30.125,98.125,1.0,1.0,2016-01-01,58.629997,2016001.0,-0.043665815,1002.0,1811.0,56.022934
25,29.625,-0.625,0.567,0.44529998,2016-01-01,59.579998,2016001.0,0.11014305,4557.0,5520.0,55.55458
26,29.375,-0.625,0.5736,0.45639998,2016-01-01,59.359997,2016001.0,0.17767036,4778.0,5731.0,55.329914
27,28.625,-0.375,0.4542,0.3665,2016-01-01,58.8,2016001.0,-0.30443624,3493.0,4190.0,54.6795
28,27.625,-0.125,0.4226,0.3238,2016-01-01,58.059998,2016001.0,0.035108656,3275.0,4319.0,53.80599
29,26.625,0.125,0.4561,0.3669,2016-01-01,57.3,2016001.0,-0.21281816,3661.0,4369.0,52.93735
30,25.625,0.375,0.4504,0.364,2016-01-01,56.55,2016001.0,-0.10320107,3659.0,4409.0,52.075214
31,25.375,49.875,0.48709998,0.426,2016-01-01,55.579998,2016001.0,-0.07142776,2624.0,2968.0,51.875202
32,24.375,50.125,0.5168,0.4324,2016-01-01,54.82,2016001.0,0.07530591,4182.0,5041.0,51.014675
33,24.125,50.125,0.5209,0.43199998,2016-01-01,54.6,2016001.0,0.24135989,4167.0,5025.0,50.800808
34,23.375,0.875,0.5974,0.5053,2016-01-01,54.84,2016001.0,0.09961998,4083.0,5057.0,50.14046
35,23.375,50.375,0.4684,0.3949,2016-01-01,54.07,2016001.0,0.13198274,4077.0,4895.0,50.16227
36,23.125,50.375,0.43089998,0.35909998,2016-01-01,53.84,2016001.0,0.35227883,3804.0,4550.0,49.9474
37,22.375,1.125,0.31239998,0.2676,2016-01-01,54.12,2016001.0,-0.39587483,3732.0,4558.0,49.297306
38,22.125,50.625,0.48909998,0.40489998,2016-01-01,53.11,2016001.0,0.10189101,3970.0,4839.0,49.09741
39,21.875,100.125,0.2402,0.1161,2016-01-01,52.149998,2016001.0,0.25995183,264.0,2657.0,48.897285
40,21.375,1.375,0.5862,0.5243,2016-01-01,53.399998,2016001.0,0.19634372,3405.0,4163.0,48.45215
41,20.875,100.375,0.4333,0.24039999,2016-01-01,51.379997,2016001.0,1.0331173,305.0,3216.0,48.062443
42,20.125,51.125,0.5633,0.4657,2016-01-01,51.649998,2016001.0,-0.18393162,4366.0,5204.0,47.413338
43,19.125,51.375,0.5022,0.3812,2016-01-01,50.92,2016001.0,-0.4122199,3946.0,5083.0,46.582916
44,18.875,51.375,0.48139998,0.3407,2016-01-01,50.719997,2016001.0,0.05493944,3569.0,4949.0,46.371338
45,17.875,51.625,0.47669998,0.39209998,2016-01-01,50.01,2016001.0,-0.08727618,3940.0,4758.0,45.54615
46,17.125,2.375,0.47379997,0.3577,2016-01-01,50.41,2016001.0,0.052540697,3627.0,4807.0,44.917927
47,16.625,101.375,0.34329998,0.1567,2016-01-01,48.26,2016001.0,0.95558566,391.0,2926.0,44.545227
48,15.875,2.625,0.2789,0.2258,2016-01-01,49.52,2016001.0,0.03248931,2390.0,3075.0,43.89444
49,15.625,52.125,0.3567,0.2879,2016-01-01,48.41,2016001.0,0.18635431,3621.0,4748.0,43.709194
50,15.375,101.625,0.25349998,0.121599995,2016-01-01,47.32,2016001.0,0.41775212,1136.0,2700.0,43.523293
51,14.375,101.875,0.25579998,0.058599997,2016-01-01,46.629997,2016001.0,0.66869015,723.0,2724.0,42.718513
52,13.625,3.125,0.39029998,0.2712,2016-01-01,48.01,2016001.0,-0.12037706,2973.0,4309.0,42.08678
53,13.125,102.125,0.2586,0.046,2016-01-01,45.739998,2016001.0,1.2655563,191.0,2997.0,41.723675
54,12.625,3.375,0.3339,0.2041,2016-01-01,47.379997,2016001.0,0.26508492,2077.0,3477.0,41.29393
55,11.375,3.625,0.281,0.1671,2016-01-01,46.539997,2016001.0,0.08989683,1569.0,2976.0,40.316433
56,10.375,3.875,0.2619,0.163,2016-01-01,45.94,2016001.0,-0.028111584,1212.0,2448.0,39.545273
57,10.125,3.875,0.196,0.1396,2016-01-01,45.73,2016001.0,-0.083451495,910.0,1678.0,39.352776
58,9.125,4.125,0.2443,0.15349999,2016-01-01,45.14,2016001.0,0.09411941,1136.0,2392.0,38.590755
59,7.875,4.375,0.25059998,0.1108,2016-01-01,44.36,2016001.0,0.67373145,623.0,2540.0,37.65458
60,6.875,4.625,0.2321,0.092999995,2016-01-01,43.78,2016001.0,0.5481853,554.0,2696.0,36.914528
61,-12.875,-40.625,0.27359998,0.069,2016-01-01,36.62,2016001.0,1.0176094,800.0,3771.0,25.803122
62,43.875,107.875,0.3951,0.3832,2016-01-02,67.18,2016002.0,0.073825575,2849.0,3188.0,68.25832
63,43.125,108.125,0.36569998,0.3311,2016-01-02,66.46,2016002.0,-0.1573123,2584.0,3057.0,67.57632
64,42.375,108.375,0.2295,0.2095,2016-01-02,65.75,2016002.0,0.03511195,2367.0,2852.0,66.88808
65,41.875,59.125,0.2453,0.2532,2016-01-02,65.47,2016002.0,0.0013252635,1592.0,1999.0,66.41838
66,41.625,108.625,0.2829,0.2342,2016-01-02,71.83,2016002.0,-0.110962264,2343.0,2849.0,66.206154
67,40.875,108.875,0.3769,0.3542,2016-01-02,64.25,2016002.0,0.19005942,2268.0,2789.0,65.52559
68,40.375,59.625,0.3159,0.2597,2016-01-02,71.619995,2016002.0,-0.13151455,2305.0,3056.0,65.0574
69,40.125,109.125,0.2474,0.2017,2016-01-02,70.74,2016002.0,0.04464023,1699.0,2131.0,64.84538
70,39.625,59.875,0.3533,0.2924,2016-01-02,71.09,2016002.0,0.123225816,2867.0,3540.0,64.38264
71,39.375,109.375,0.21609999,0.1741,2016-01-02,70.2,2016002.0,-0.1626942,1458.0,1955.0,64.17273
72,38.625,60.125,0.24219999,0.22569999,2016-01-02,62.41,2016002.0,0.32810938,2002.0,2442.0,63.4768
73,38.625,109.625,0.089499995,0.0845,2016-01-02,69.67,2016002.0,0.16474333,1888.0,2445.0,63.496113
74,37.875,60.375,0.2729,0.217,2016-01-02,69.81,2016002.0,-0.17164825,1857.0,2503.0,62.781914
75,37.625,-87.875,0.23529999,0.0906,2016-01-02,71.95,2016002.0,0.19552782,634.0,1862.0,62.534374
76,37.125,60.625,0.2224,0.1629,2016-01-02,69.31,2016002.0,0.003971367,1388.0,2088.0,62.124004
77,36.875,-87.625,0.2591,0.114099994,2016-01-02,61.69,2016002.0,0.49107304,703.0,2447.0,61.853935
78,36.125,60.875,0.21679999,0.1697,2016-01-02,68.6,2016002.0,0.18292753,1932.0,2648.0,61.22582
79,35.125,110.625,0.2033,0.1748,2016-01-02,67.15,2016002.0,-0.051835228,1112.0,2065.0,60.346947
80,34.125,-86.875,0.084,0.0422,2016-01-02,59.21,2016002.0,0.19591372,641.0,2298.0,59.39899
81,31.875,12.625,0.3006,0.2481,2016-01-02,56.43,2016002.0,-0.017403789,3374.0,4257.0,57.423145
82,31.125,12.875,0.3945,0.3229,2016-01-02,55.739998,2016002.0,0.28795454,3703.0,4607.0,56.765076
83,30.875,62.375,0.5972,0.5123,2016-01-02,65.01,2016002.0,-0.025598839,2114.0,2457.0,56.54776
84,30.125,13.125,0.415,0.3284,2016-01-02,54.75,2016002.0,0.048511606,3473.0,4531.0,55.88288
85,29.125,13.375,0.44129997,0.32619998,2016-01-02,64.71,2016002.0,0.1451533,3138.0,4212.0,55.004215
86,28.875,62.875,0.226,0.2061,2016-01-02,63.66,2016002.0,-0.04745968,1784.0,1941.0,54.796898
87,28.125,13.625,0.5007,0.4044,2016-01-02,64.049995,2016002.0,-0.004334035,3929.0,4743.0,54.129818
88,27.875,63.125,0.3014,0.2877,2016-01-02,63.02,2016002.0,-0.005925816,2735.0,3032.0,53.92728
89,27.125,13.875,0.5557,0.45889997,2016-01-02,63.41,2016002.0,-0.08791886,4454.0,5299.0,53.25756
90,26.875,63.375,0.1846,0.1603,2016-01-02,62.329998,2016002.0,0.056375325,1507.0,1813.0,53.05765
91,26.125,14.125,0.4298,0.3387,2016-01-02,62.8,2016002.0,0.05737096,3403.0,4207.0,52.391014
92,25.125,14.375,0.6051,0.48409998,2016-01-02,62.16,2016002.0,-0.03214681,4768.0,5782.0,51.529274
93,24.125,14.625,0.4265,0.35529998,2016-01-02,61.539997,2016002.0,0.008221964,3263.0,3836.0,50.668186
94,23.125,14.875,0.4129,0.33359998,2016-01-02,60.91,2016002.0,-0.25745136,3347.0,4021.0,49.81511
95,22.625,-83.875,0.2359,0.0813,2016-01-02,62.64,2016002.0,0.58610195,283.0,2580.0,49.359097
96,20.875,15.375,0.45029998,0.35979998,2016-01-02,59.539997,2016002.0,-0.12114763,3472.0,4187.0,47.905567
97,19.875,15.625,0.6117,0.4836,2016-01-02,58.94,2016002.0,0.08346089,4694.0,5703.0,47.06997
98,18.875,15.875,0.6167,0.5074,2016-01-02,58.37,2016002.0,-0.21412863,5010.0,5892.0,46.23808
99,17.625,16.125,0.49969998,0.4163,2016-01-02,57.61,2016002.0,0.07422827,4057.0,4786.0,45.20174
100,15.375,16.625,0.5408,0.45369998,2016-01-02,56.329998,2016002.0,0.2383607,4233.0,5274.0,43.36975
101,14.375,16.875,0.433,0.3892,2016-01-02,55.789997,2016002.0,-0.048709996,3529.0,4752.0,42.562634
102,13.375,17.125,0.4043,0.2854,2016-01-02,55.28,2016002.0,-0.19732949,2714.0,4037.0,41.766632
103,13.125,17.125,0.2958,0.2094,2016-01-02,55.09,2016002.0,0.40229186,2063.0,3151.0,41.567997
104,12.125,17.375,0.35729998,0.2339,2016-01-02,54.59,2016002.0,-0.106052205,2358.0,3547.0,40.776215
105,10.875,17.625,0.22999999,0.1296,2016-01-02,53.91,2016002.0,0.01017845,1287.0,2402.0,39.804455
106,9.875,17.875,0.1495,0.091,2016-01-02,53.43,2016002.0,0.15248446,830.0,1987.0,39.035892
107,8.625,18.125,0.2013,0.1025,2016-01-02,52.789997,2016002.0,0.104902625,937.0,2262.0,38.08717
108,8.125,-80.625,0.1244,0.16,2016-01-02,37.32,2016002.0,0.37039727,846.0,3001.0,37.685177
109,7.625,18.375,0.1688,0.0756,2016-01-02,52.3,2016002.0,0.23247145,702.0,1930.0,37.34459
110,7.375,18.375,0.16139999,0.074999996,2016-01-02,52.17,2016002.0,-0.08058405,712.0,1802.0,37.154484
111,6.375,18.625,0.161,0.0578,2016-01-02,51.699997,2016002.0,0.35812205,404.0,1899.0,36.423046
112,5.875,117.625,0.2436,0.1025,2016-01-02,48.98,2016002.0,0.8832721,353.0,3089.0,36.10491
113,5.125,18.875,0.1762,0.0488,2016-01-02,51.129997,2016002.0,0.48834738,372.0,2137.0,35.521687
114,4.625,117.875,0.4271,0.23249999,2016-01-02,48.36,2016002.0,1.1127689,183.0,3532.0,35.211933
115,4.125,19.125,0.2109,0.0747,2016-01-02,50.67,2016002.0,0.18491043,601.0,1910.0,34.81425
116,3.875,19.125,0.1673,0.061499998,2016-01-02,50.51,2016002.0,0.27548718,515.0,1963.0,34.64112
117,2.875,19.375,0.20719999,0.0486,2016-01-02,50.14,2016002.0,0.95080054,423.0,2621.0,33.95402
118,0.375,19.875,0.1372,0.041899998,2016-01-02,49.039997,2016002.0,0.5740121,421.0,2384.0,32.299202
119,-2.375,119.375,0.35729998,0.2356,2016-01-02,45.35,2016002.0,1.4934293,260.0,3364.0,30.630877
120,-4.875,-77.875,0.58809996,0.5438,2016-01-02,28.529999,2016002.0,1.5986878,221.0,3971.0,29.139837
121,-6.625,21.375,0.2393,0.0438,2016-01-02,46.61,2016002.0,0.92370343,362.0,3679.0,28.267694
122,-7.625,21.625,0.2643,0.073199995,2016-01-02,46.32,2016002.0,0.9932166,434.0,2967.0,27.783096
123,-8.375,-77.125,0.5972,0.7054,2016-01-02,26.72,2016002.0,0.5352853,817.0,2838.0,27.398994
124,-8.375,120.625,0.44529998,0.304,2016-01-02,43.3,2016002.0,0.933812,409.0,3596.0,27.47747
125,-8.875,21.875,0.3391,0.090799995,2016-01-02,46.0,2016002.0,0.91573894,373.0,3106.0,27.215075
126,-9.625,-76.875,0.2794,0.1943,2016-01-02,26.14,2016002.0,0.817143,751.0,2915.0,26.861603
127,-12.375,22.625,0.6157,0.48889998,2016-01-02,45.129997,2016002.0,0.5317429,465.0,2591.0,25.858871
128,-12.875,-76.125,0.14729999,0.12619999,2016-01-02,47.91,2016002.0,-0.058258526,1606.0,2017.0,25.668045
129,-14.125,-75.875,0.2651,0.24479999,2016-01-02,47.7,2016002.0,-0.08621319,2372.0,2622.0,25.297558
130,-17.375,122.625,0.2154,0.103099994,2016-01-02,41.48,2016002.0,0.13660187,1235.0,2604.0,24.67109
131,-18.375,122.875,0.2608,0.1674,2016-01-02,41.36,2016002.0,0.108415686,1932.0,2933.0,24.541117
132,-19.375,123.125,0.30539998,0.2075,2016-01-02,41.309998,2016002.0,0.013655779,2248.0,3319.0,24.454397
133,-19.625,123.125,0.3157,0.21669999,2016-01-02,41.23,2016002.0,0.06118319,2454.0,3565.0,24.413237
134,-20.625,123.375,0.31399998,0.2315,2016-01-02,41.2,2016002.0,0.37025386,2161.0,3052.0,24.371376
135,-21.125,24.625,0.31689999,0.2435,2016-01-02,44.059998,2016002.0,-0.023295594,2223.0,3834.0,24.340881
136,-21.625,123.625,0.5261,0.4301,2016-01-02,41.18,2016002.0,-0.13786705,2032.0,2692.0,24.37916
137,-22.625,123.875,0.2768,0.1998,2016-01-02,41.149998,2016002.0,0.13447389,2110.0,2920.0,24.409767
138,-24.375,25.375,0.2272,0.15349999,2016-01-02,43.94,2016002.0,0.34940553,1860.0,3236.0,24.509912
